Date,Value
2022-09-19T11:42:25.633908Z,-94.8
2022-09-19T11:47:18.668656Z,-94.8
2022-09-19T11:51:53.226895Z,-95.3
2022-09-19T11:56:55.351567Z,-95.2
2022-09-19T12:02:03.075483Z,-95.1
2022-09-19T12:07:13.952300Z,-95.4
2022-09-19T12:11:46.768282Z,-95.3
2022-09-19T12:16:57.888287Z,-95.5
2022-09-19T12:21:52.254018Z,-95.7
2022-09-19T12:26:53.302322Z,-95.5
2022-09-19T12:32:08.589450Z,-95.7
2022-09-19T12:37:03.481987Z,-94.3
2022-09-19T12:42:01.696417Z,-95.8
2022-09-19T12:47:01.043911Z,-95.8
2022-09-19T12:51:56.733647Z,-95.7
2022-09-19T12:56:49.602072Z,-96.0
2022-09-19T13:02:12.702285Z,-96.2
2022-09-19T13:06:51.599093Z,-96.3
2022-09-19T13:12:06.428117Z,-95.5
2022-09-19T13:16:59.948679Z,-95.7
2022-09-19T13:22:25.512218Z,-96.1
2022-09-19T13:27:15.310883Z,-96.6
2022-09-19T13:32:10.577278Z,-96.1
2022-09-19T13:37:02.769057Z,-96.7
2022-09-19T13:42:12.730839Z,-95.7
2022-09-19T13:47:04.611158Z,-96.1
2022-09-19T13:52:19.104186Z,-96.6
2022-09-19T13:56:47.768517Z,-96.6
2022-09-19T14:02:06.868351Z,-96.6
2022-09-19T14:07:02.936219Z,-96.9
2022-09-19T14:12:05.857295Z,-96.9
2022-09-19T14:17:04.960891Z,-96.9
2022-09-19T14:21:58.052358Z,-94.6
2022-09-19T14:27:30.602741Z,-97.1
2022-09-19T14:32:17.719341Z,-97.4
2022-09-19T14:37:05.175993Z,-97.5
2022-09-19T14:41:22.524318Z,-97.5
2022-09-19T14:47:11.484527Z,-97.6
2022-09-19T14:51:57.432043Z,-97.3
2022-09-19T14:57:02.122049Z,-97.6
2022-09-19T15:06:55.554571Z,-97.9
2022-09-19T15:12:07.397351Z,-97.9
2022-09-19T15:16:44.591119Z,-98.2
2022-09-19T15:22:18.974536Z,-98.1
2022-09-19T15:27:17.822561Z,-98.2
2022-09-19T15:31:59.499817Z,-97.5
2022-09-19T15:37:28.771019Z,-97.8
2022-09-19T15:42:09.244437Z,-97.6
2022-09-19T15:46:55.215787Z,-98.0
2022-09-19T15:52:16.481878Z,-98.2
2022-09-19T15:56:56.922327Z,-97.8
2022-09-19T16:02:00.923714Z,-98.3
2022-09-19T16:07:13.154230Z,-98.8
2022-09-19T16:17:14.938739Z,-99.0
2022-09-19T16:22:13.087843Z,-99.4
2022-09-19T16:27:02.614538Z,-100.2
2022-09-19T16:32:21.119444Z,-101.3
2022-09-19T16:37:18.598461Z,-102.8
2022-09-19T16:42:11.478704Z,-104.7
2022-09-19T16:47:01.650742Z,-106.6
2022-09-19T16:52:25.344917Z,-105.5
2022-09-19T16:57:04.690921Z,-103.7
2022-09-19T17:02:18.427590Z,-100.6
2022-09-19T17:07:16.811800Z,-98.7
2022-09-19T17:11:59.376832Z,-97.1
2022-09-19T17:17:18.074844Z,-95.4
2022-09-19T17:21:53.748312Z,-95.2
2022-09-19T17:27:31.209985Z,-94.0
2022-09-19T17:31:55.313256Z,-93.3
2022-09-19T17:37:21.934467Z,-92.6
2022-09-19T17:42:19.412130Z,-92.8
2022-09-19T17:47:10.545051Z,-91.6
